condidatId,diplome,interview,Age,experience,accepted
0001_01,False,2,39,False,False
0002_01,False,2,24,False,True
0003_01,False,2,58,True,False
0003_02,False,2,33,False,False
0004_01,False,2,16,False,True
0005_01,False,1,44,False,True
0006_01,False,2,26,False,True
0006_02,True,2,28,False,True
0007_01,False,2,35,False,True
0008_01,True,0,14,False,True
0008_02,True,2,34,False,True
0008_03,False,0,45,False,True
0009_01,False,2,32,False,True
0010_01,False,2,48,False,False
0011_01,False,2,28,False,True
0012_01,False,2,31,False,False
0014_01,False,0,27,False,False
0015_01,False,0,24,False,False
0016_01,True,2,45,False,True
0017_01,False,2,0,False,True
0017_02,False,0,14,False,False
0020_01,True,2,1,False,False
0020_02,True,0,49,False,False
0020_03,True,0,29,False,False
0020_04,False,2,10,False,True
0020_05,True,1,1,False,False
0020_06,False,2,7,False,False
0022_01,False,2,21,False,False
0024_01,True,2,62,False,True
0025_01,False,2,15,False,False
0026_01,False,0,34,False,False
0028_01,False,2,43,False,False
0030_01,False,2,32,False,False
0031_01,False,2,47,False,True
0031_02,False,2,2,False,True
0031_03,False,2,20,False,True
0034_01,True,0,28,False,True
0035_01,False,0,23,False,False
0036_01,False,0,15,,False
0038_01,False,0,20,False,False
0039_01,True,0,30,False,False
0041_01,True,2,17,False,True
0043_01,False,2,45,False,False
0044_01,True,2,55,False,False
0044_02,True,0,4,False,True
0044_03,True,1,21,False,True
0045_01,False,2,21,False,False
0045_02,True,3,19,False,True
0050_01,False,0,35,False,False
0051_01,False,2,56,False,False
0052_01,False,2,,False,False
0053_01,False,2,25,False,True
0056_01,False,2,2,False,True
0056_02,True,2,38,False,True
0056_03,False,2,27,False,True
0058_01,True,1,36,False,False
0061_01,False,2,22,False,False
0062_01,False,2,62,False,False
0064_01,True,2,15,False,True
0064_02,True,2,33,False,True
0066_01,False,2,62,False,False
0067_01,True,1,0,False,True
0067_02,False,2,18,False,True
0067_03,False,0,21,False,False
0068_01,False,2,,False,False
0069_01,False,2,42,False,True
0070_01,False,2,19,False,False
0071_01,False,2,17,False,False
0072_01,False,2,14,False,False
0073_01,False,1,37,False,False
0074_01,False,2,42,False,True
0076_01,False,2,27,False,True
0077_01,False,2,28,False,True
0078_01,False,2,38,False,False
0081_01,True,2,13,False,False
0082_01,False,2,42,False,False
0082_02,True,2,2,False,True
0082_03,False,2,8,False,True
0084_01,False,2,24,False,True
0085_01,True,2,40,False,True
0086_01,False,2,43,False,False
0088_01,True,1,45,False,True
0090_01,True,2,35,False,True
0091_01,True,2,26,False,True
0091_02,False,2,27,False,False
0092_01,False,2,19,False,False
0092_02,True,2,0,False,True
0092_03,True,2,3,False,True
0097_01,False,2,54,False,False
0098_01,False,2,26,False,False
0098_02,False,2,26,False,True
0099_01,False,1,23,False,False
0099_02,,2,2,False,True
0101_01,True,2,31,False,True
0102_01,False,2,18,False,False
0103_01,False,2,24,False,True
0103_02,True,0,9,False,True
0103_03,True,2,6,False,False
0105_01,,2,27,False,False
0107_01,False,2,21,False,False
0108_01,True,2,23,False,False
0108_02,False,2,31,False,False
0108_03,False,2,0,,True
0110_01,False,2,32,False,False
0110_02,,2,40,False,False
0110_03,False,2,42,False,True
0110_04,True,2,28,False,True
0111_01,True,2,29,False,True
0112_01,False,0,48,True,True
0113_01,False,2,64,False,True
0114_01,False,2,27,False,False
0115_01,,2,26,False,True
0116_01,False,2,33,False,True
0119_01,False,2,39,False,False
0119_02,True,2,13,False,True
0120_01,True,2,24,False,True
0122_01,False,2,29,False,False
0123_01,False,2,18,False,False
0126_01,True,2,67,False,True
0127_01,False,2,35,False,False
0128_01,False,2,61,True,False
0128_02,False,2,45,False,False
0129_01,True,1,22,False,True
0133_01,True,2,19,False,True
0133_02,False,2,36,False,False
0134_01,False,2,19,False,True
0136_01,False,1,47,False,False
0138_01,True,2,13,False,True
0138_02,False,3,34,False,False
0139_01,True,0,35,False,True
0140_01,True,2,24,False,True
0140_02,False,2,26,False,False
0141_01,False,2,31,False,False
0144_01,False,2,20,False,True
0146_01,False,2,56,False,False
0147_01,True,2,50,False,True
0148_01,False,2,42,False,False
0149_01,True,0,,False,True
0151_01,True,0,38,False,False
0152_01,False,3,41,False,False
0160_01,False,2,22,False,False
0163_01,True,2,26,False,True
0163_02,True,2,17,False,True
0164_01,False,2,57,False,True
0164_02,True,1,17,False,False
0165_01,True,2,35,,True
0167_01,True,2,13,False,True
0167_02,False,2,27,False,False
0169_01,True,2,31,False,False
0170_01,False,2,24,False,False
0171_01,True,1,19,False,True
0172_01,True,2,32,False,True
0173_01,,2,58,False,True
0174_01,False,0,21,False,False
0177_01,False,2,38,False,False
0178_01,False,2,38,False,False
0179_01,False,2,19,False,True
0179_02,False,2,0,False,False
0179_03,False,2,3,False,True
0181_01,False,2,20,False,False
0182_01,True,2,24,False,True
0183_01,False,2,37,False,True
0186_01,False,2,25,False,False
0188_01,True,2,56,False,True
0189_01,False,0,49,False,False
0190_01,True,0,11,False,False
0192_01,True,2,1,False,True
0192_02,False,2,8,False,False
0192_03,False,2,39,False,False
0193_01,True,2,2,False,True
0193_02,False,2,23,False,False
0193_03,False,2,0,False,True
0195_01,False,2,39,False,True
0196_01,False,1,25,False,False
0197_01,False,2,36,False,False
0198_01,,1,52,False,True
0199_01,True,2,18,False,False
0200_01,True,2,15,False,True
0201_01,True,2,35,False,True
0201_02,True,2,47,False,True
0202_01,True,0,45,False,True
0202_02,False,0,,False,True
0203_01,True,2,51,False,True
0205_01,False,2,29,False,False
0206_01,False,0,,False,True
0207_01,True,1,19,False,False
0210_01,True,0,24,False,True
0211_01,False,2,29,False,True
0211_02,True,2,11,False,True
0211_03,False,2,17,False,False
0212_01,False,2,13,False,False
0212_02,False,2,35,False,False
0213_01,False,2,21,False,False
0216_01,False,0,21,False,False
0217_01,False,2,38,False,False
0219_01,True,2,19,False,True
0220_01,True,2,2,False,True
0220_02,False,2,0,False,True
0220_03,True,2,13,False,False
0220_04,False,2,25,False,False
0220_05,False,2,16,False,False
0220_06,False,0,1,False,False
0220_07,True,2,15,False,True
0221_01,False,0,21,False,False
0221_02,False,2,23,False,False
0221_03,False,2,33,False,False
0221_04,True,2,21,False,True
0221_05,False,2,41,False,False
0221_06,False,2,16,False,False
0221_07,True,2,42,False,False
0222_01,False,2,20,False,False
0222_02,True,2,24,False,True
0222_03,True,2,16,False,True
0223_01,False,2,21,False,False
0224_01,False,2,32,True,False
0225_01,True,1,58,False,True
0229_01,False,2,24,False,False
0231_01,False,2,30,False,False
0232_01,True,1,27,False,False
0233_01,False,2,32,False,False
0234_01,False,2,43,False,False
0237_01,True,2,42,False,True
0239_01,False,2,37,False,False
0240_01,True,2,35,False,True
0241_01,,0,33,False,False
0242_01,False,2,18,False,False
0243_01,True,2,21,False,False
0244_01,True,2,43,False,True
0244_02,True,0,14,,True
0245_01,False,0,46,False,True
0245_02,False,2,33,False,False
0246_01,False,2,21,False,False
0248_01,False,2,33,False,False
0250_01,True,1,47,False,False
0251_01,True,0,54,False,True
0252_01,False,2,30,False,False
0253_01,False,2,29,False,False
0254_01,False,2,21,False,True
0255_01,True,2,24,False,True
0257_01,False,0,21,False,False
0257_02,True,2,60,False,True
0258_01,False,2,22,False,False
0260_01,False,2,26,False,False
0261_01,False,2,26,False,False
0263_01,True,2,28,False,True
0265_01,True,2,39,False,True
0267_01,False,2,13,False,False
0269_01,False,0,47,False,True
0270_01,False,2,63,False,False
0275_01,True,0,,False,True
0277_01,False,0,50,False,True
0278_01,False,2,35,False,False
0278_02,False,2,45,False,False
0281_01,False,2,19,False,True
0282_01,False,2,21,False,True
0283_01,True,1,29,False,True
0283_02,False,2,22,False,True
0285_01,True,2,14,False,True
0285_02,True,0,42,False,True
0286_01,False,0,57,False,False
0287_01,True,0,39,False,True
0287_02,False,2,28,False,False
0288_01,False,0,19,False,False
0289_01,True,0,19,False,True
0290_01,False,0,26,False,True
0290_02,True,2,17,False,True
0290_03,,2,43,False,True
0290_04,False,0,9,False,True
0291_01,False,2,40,False,True
0294_01,True,2,50,False,True
0297_01,False,2,24,False,True
0298_01,True,0,57,False,True
0301_01,True,2,16,False,False
0302_01,False,2,23,False,False
0303_01,True,2,23,False,True
0304_01,False,2,28,False,False
0305_01,False,0,23,False,False
0306_01,False,2,23,False,False
0307_01,False,2,18,False,True
0309_01,False,2,18,False,False
0310_01,False,2,67,False,False
0313_01,False,1,60,False,True
0313_02,True,0,,False,True
0313_03,False,0,49,False,True
0313_04,False,0,0,False,True
0314_01,False,0,26,False,False
0315_01,True,1,35,False,True
0316_01,False,2,24,False,True
0316_02,True,2,20,False,True
0320_01,False,2,18,False,False
0320_02,False,2,21,False,False
0321_01,False,2,59,True,False
0322_01,True,1,13,False,False
0324_01,True,0,43,False,False
0326_01,True,2,29,False,False
0327_01,False,2,19,False,True
0330_01,False,2,2,False,True
0330_02,False,2,32,False,True
0330_03,False,2,33,False,False
0331_01,False,2,25,False,False
0333_01,True,0,29,False,True
0334_01,False,2,29,False,False
0336_01,False,2,44,False,False
0337_01,True,0,2,False,True
0337_02,False,2,19,False,True
0337_03,False,0,0,False,True
0338_01,True,2,18,False,True
0340_01,True,0,38,False,True
0341_01,True,1,5,False,False
0343_01,False,1,31,False,False
0345_01,True,2,30,False,False
0346_01,True,0,15,False,True
0347_01,False,2,27,False,False
0348_01,False,2,22,False,True
0348_02,,2,36,False,True
0350_01,True,1,14,False,True
0352_01,False,2,23,False,False
0355_01,True,2,18,False,True
0356_01,True,0,36,False,True
0357_01,False,2,41,False,False
0358_01,True,2,50,False,True
0358_02,True,1,32,False,True
0359_01,False,1,26,False,False
0360_01,False,2,15,False,False
0361_01,False,0,33,False,True
0365_01,False,0,,False,False
0368_01,False,2,26,False,False
0368_02,True,2,61,False,True
0369_01,False,2,24,False,True
0370_01,False,2,30,False,False
0371_01,True,2,24,False,True
0372_01,False,2,24,False,False
0373_01,True,2,41,False,False
0375_01,False,2,20,False,False
0376_01,False,2,22,False,True
0377_01,False,0,63,False,False
0378_01,False,0,18,False,False
0378_02,True,0,21,False,True
0378_03,False,2,79,False,False
0378_04,True,2,56,False,True
0378_05,True,2,13,False,True
0378_06,False,2,33,False,False
